keys,cn,en
start_game,开始游戏,Start Game
buy,添加,Add
undo,移除,Remove
produce,生产,Produce
preview,预览,Preview
cancel,取消,Cancel
submit,提交,Submit
shop_title,选择一个反应添加,Choose a reaction to add
skip,跳过,Skip
upgrade,扩大安全\n范围,Expand the\n safe range
reactions,反应,Reactions
stats,统计,Stats
count,数量,Count
position,位置,Position
confirm,确认,Confirm
restart,重新开始,Restart
to_menu,返回主界面,Back to menu

tooltip_mutation,本次任务的特殊情况,Special situation of this task
tooltip_screen,反应堆。反应的步骤：\n1.与反应图案匹配的原子被消除\n2.原子下落\n3.用随机原子填充反应堆\n4.若没有任何原子消除，反应停止。否则重复1-4步,"Reactor. The steps of the reaction:\n1. The atoms matching the reaction pattern are eliminated\n2. Atoms fall\n3. Fill the reactor with random atoms\n4. If no atoms are eliminated, the reaction stops. Otherwise, repeat steps 1-4"
tooltip_speed_options,设置反应动画速度,Set the speed of reaction animation
tooltip_reactions,所有反应结构\n注意：\n1.反应的顺序并不会影响最终结果。\n2.必须位置颜色完全匹配才会消除。不计旋转与翻转匹配,"All reaction structures\nNote:\n1. The order of reactions does not affect the final result.\n2. The position and color must match completely to be eliminated. No rotation or flip matching is counted."
tooltip_stats_count,统计包含指定颜色的反应数,Count the number of reactions containing the specified color
tooltip_stats_position,统计颜色的各个位置频率,Count the frequency of each position of the color

tooltip_energy,本次任务已积累的能量,The energy accumulated in this task
tooltip_preview_energy,预览中生产的能量,The energy produced in the preview mode
tooltip_money,你持有的金钱。进行操作消耗金钱。通过完成任务获取。,The money you have. Operations consume money. Obtain by completing tasks.
tooltip_insurance,你持有的保险数。当能量超过安全阈值时，持有保险不会使游戏立即结束。,"The number of insurance you have. When the energy exceeds the safe threshold, holding insurance will not end the game immediately."
tooltip_skip,跳过后，本次添加所需费用不增长,"If skip, the cost of this purchase will not increase."
tooltip_buy,从随机三个反应中选择一个添加。添加后，本回合添加费用+1,"Choose one from three random reactions to add, and the cost of adding this round +1 after adding"
tooltip_undo,移除添加的上一个反应,Remove the last reaction added this round
tooltip_upgrade,提高安全范围。但是相应的，获取最高报酬的难度也增加\n使用后本回合费用增加1倍,"Expand the safe range. However, the difficulty of getting the highest reward also increases.\nThe cost of this round increases by 100% after use"
tooltip_produce,开始反应并获取能量，一旦生产开始，直到无法反应才会停止。\n使用后本回合费用+1,"Start the reaction and get energy, once the production starts, it will not stop until it cannot react.\n The cost of this round +1 after use"
